Date,Open,High,Low,Close,Adj Close,Volume,Day
2015-01-02,2058.899902,2072.360107,2046.040039,2058.199951,2058.199951,2708700000,320
2015-01-05,2054.439941,2054.439941,2017.339966,2020.579956,2020.579956,3799120000,321
2015-01-06,2022.150024,2030.25,1992.439941,2002.609985,2002.609985,4460110000,322
2015-01-07,2005.550049,2029.609985,2005.550049,2025.900024,2025.900024,3805480000,323
2015-01-08,2030.609985,2064.080078,2030.609985,2062.139893,2062.139893,3934010000,324
2015-01-09,2063.449951,2064.429932,2038.329956,2044.810059,2044.810059,3364140000,325
2015-01-12,2046.130005,2049.300049,2022.579956,2028.26001,2028.26001,3456460000,326
2015-01-13,2031.579956,2056.929932,2008.25,2023.030029,2023.030029,4107300000,327
2015-01-14,2018.400024,2018.400024,1988.439941,2011.27002,2011.27002,4378680000,328
2015-01-15,2013.75,2021.349976,1991.469971,1992.670044,1992.670044,4276720000,329
2015-01-16,1992.25,2020.459961,1988.119995,2019.420044,2019.420044,4056410000,330
2015-01-20,2020.76001,2028.939941,2004.48999,2022.550049,2022.550049,3944340000,331
2015-01-21,2020.189941,2038.290039,2012.040039,2032.119995,2032.119995,3730070000,332
2015-01-22,2034.300049,2064.620117,2026.380005,2063.149902,2063.149902,4176050000,333
2015-01-23,2062.97998,2062.97998,2050.540039,2051.820068,2051.820068,3573560000,334
2015-01-26,2050.419922,2057.620117,2040.969971,2057.090088,2057.090088,3465760000,335
2015-01-27,2047.859985,2047.859985,2019.910034,2029.550049,2029.550049,3329810000,336
2015-01-28,2032.339966,2042.48999,2001.48999,2002.160034,2002.160034,4067530000,337
2015-01-29,2002.449951,2024.640015,1989.180054,2021.25,2021.25,4127140000,338
2015-01-30,2019.349976,2023.319946,1993.380005,1994.98999,1994.98999,4568650000,339
2015-02-02,1996.670044,2021.660034,1980.900024,2020.849976,2020.849976,4008330000,340
2015-02-03,2022.709961,2050.300049,2022.709961,2050.030029,2050.030029,4615900000,341
2015-02-04,2048.860107,2054.73999,2036.719971,2041.51001,2041.51001,4141920000,342
2015-02-05,2043.449951,2063.550049,2043.449951,2062.52002,2062.52002,3821990000,343
2015-02-06,2062.280029,2072.399902,2049.969971,2055.469971,2055.469971,4232970000,344
2015-02-09,2053.469971,2056.159912,2041.880005,2046.73999,2046.73999,3549540000,345
2015-02-10,2049.379883,2070.860107,2048.620117,2068.590088,2068.590088,3669850000,346
2015-02-11,2068.550049,2073.47998,2057.98999,2068.530029,2068.530029,3596860000,347
2015-02-12,2069.97998,2088.530029,2069.97998,2088.47998,2088.47998,3788350000,348
2015-02-13,2088.780029,2097.030029,2086.699951,2096.98999,2096.98999,3527450000,349
2015-02-17,2096.469971,2101.300049,2089.800049,2100.340088,2100.340088,3361750000,350
2015-02-18,2099.159912,2100.22998,2092.149902,2099.679932,2099.679932,3370020000,351
2015-02-19,2099.25,2102.129883,2090.790039,2097.449951,2097.449951,3247100000,352
2015-02-20,2097.649902,2110.610107,2085.439941,2110.300049,2110.300049,3281600000,353
2015-02-23,2109.830078,2110.050049,2103,2109.659912,2109.659912,3093680000,354
2015-02-24,2109.100098,2117.939941,2105.870117,2115.47998,2115.47998,3199840000,355
2015-02-25,2115.300049,2119.590088,2109.889893,2113.860107,2113.860107,3312340000,356
2015-02-26,2113.909912,2113.909912,2103.76001,2110.73999,2110.73999,3408690000,357
2015-02-27,2110.879883,2112.73999,2103.75,2104.5,2104.5,3547380000,358
2015-03-02,2105.22998,2117.52002,2104.5,2117.389893,2117.389893,3409490000,359
2015-03-03,2115.76001,2115.76001,2098.26001,2107.780029,2107.780029,3262300000,360
2015-03-04,2107.719971,2107.719971,2094.48999,2098.530029,2098.530029,3421110000,361
2015-03-05,2098.540039,2104.25,2095.219971,2101.040039,2101.040039,3103030000,362
2015-03-06,2100.909912,2100.909912,2067.27002,2071.26001,2071.26001,3853570000,363
2015-03-09,2072.25,2083.48999,2072.209961,2079.429932,2079.429932,3349090000,364
2015-03-10,2076.139893,2076.139893,2044.160034,2044.160034,2044.160034,3668900000,365
2015-03-11,2044.689941,2050.080078,2039.689941,2040.23999,2040.23999,3406570000,366
2015-03-12,2041.099976,2066.409912,2041.099976,2065.949951,2065.949951,3405860000,367
2015-03-13,2064.560059,2064.560059,2041.170044,2053.399902,2053.399902,3498560000,368
2015-03-16,2055.350098,2081.409912,2055.350098,2081.189941,2081.189941,3295600000,369
2015-03-17,2080.590088,2080.590088,2065.080078,2074.280029,2074.280029,3221840000,370
2015-03-18,2072.840088,2106.850098,2061.22998,2099.5,2099.5,4128210000,371
2015-03-19,2098.689941,2098.689941,2085.560059,2089.27002,2089.27002,3305220000,372
2015-03-20,2090.320068,2113.919922,2090.320068,2108.100098,2108.100098,5554120000,373
2015-03-23,2107.98999,2114.860107,2104.419922,2104.419922,2104.419922,3267960000,374
2015-03-24,2103.939941,2107.629883,2091.5,2091.5,2091.5,3189820000,375
2015-03-25,2093.100098,2097.429932,2061.050049,2061.050049,2061.050049,3521140000,376
2015-03-26,2059.939941,2067.149902,2045.5,2056.149902,2056.149902,3510670000,377
2015-03-27,2055.780029,2062.830078,2052.959961,2061.02002,2061.02002,3008550000,378
2015-03-30,2064.110107,2088.969971,2064.110107,2086.23999,2086.23999,2917690000,379
2015-03-31,2084.050049,2084.050049,2067.040039,2067.889893,2067.889893,3376550000,380
2015-04-01,2067.629883,2067.629883,2048.379883,2059.689941,2059.689941,3543270000,381
2015-04-02,2060.030029,2072.169922,2057.320068,2066.959961,2066.959961,3095960000,382
2015-04-06,2064.870117,2086.98999,2056.52002,2080.620117,2080.620117,3302970000,383
2015-04-07,2080.790039,2089.810059,2076.100098,2076.330078,2076.330078,3065510000,384
2015-04-08,2076.939941,2086.689941,2073.300049,2081.899902,2081.899902,3265330000,385
2015-04-09,2081.290039,2093.310059,2074.290039,2091.179932,2091.179932,3172360000,386
2015-04-10,2091.51001,2102.610107,2091.51001,2102.060059,2102.060059,3156200000,387
2015-04-13,2102.030029,2107.649902,2092.330078,2092.429932,2092.429932,2908420000,388
2015-04-14,2092.280029,2098.620117,2083.23999,2095.840088,2095.840088,3301270000,389
2015-04-15,2097.820068,2111.909912,2097.820068,2106.629883,2106.629883,4013760000,390
2015-04-16,2105.959961,2111.300049,2100.02002,2104.98999,2104.98999,3434120000,391
2015-04-17,2102.580078,2102.580078,2072.370117,2081.179932,2081.179932,3627600000,392
2015-04-20,2084.110107,2103.939941,2084.110107,2100.399902,2100.399902,3000160000,393
2015-04-21,2102.820068,2109.639893,2094.379883,2097.290039,2097.290039,3243410000,394
2015-04-22,2098.27002,2109.97998,2091.050049,2107.959961,2107.959961,3348480000,395
2015-04-23,2107.209961,2120.48999,2103.189941,2112.929932,2112.929932,3636670000,396
2015-04-24,2112.800049,2120.919922,2112.800049,2117.689941,2117.689941,3375780000,397
2015-04-27,2119.290039,2125.919922,2107.040039,2108.919922,2108.919922,3438750000,398
2015-04-28,2108.350098,2116.040039,2094.889893,2114.76001,2114.76001,3546270000,399
2015-04-29,2112.48999,2113.649902,2097.409912,2106.850098,2106.850098,4074970000,400
2015-04-30,2105.52002,2105.52002,2077.590088,2085.51001,2085.51001,4509680000,401
2015-05-01,2087.379883,2108.409912,2087.379883,2108.290039,2108.290039,3379390000,402
2015-05-04,2110.22998,2120.949951,2110.22998,2114.48999,2114.48999,3091580000,403
2015-05-05,2112.629883,2115.23999,2088.459961,2089.459961,2089.459961,3793950000,404
2015-05-06,2091.26001,2098.419922,2067.929932,2080.149902,2080.149902,3792210000,405
2015-05-07,2079.959961,2092.899902,2074.98999,2088,2088,3676640000,406
2015-05-08,2092.129883,2117.659912,2092.129883,2116.100098,2116.100098,3399440000,407
2015-05-11,2115.560059,2117.689941,2104.580078,2105.330078,2105.330078,2992670000,408
2015-05-12,2102.870117,2105.060059,2085.570068,2099.120117,2099.120117,3139520000,409
2015-05-13,2099.620117,2110.189941,2096.040039,2098.47998,2098.47998,3374260000,410
2015-05-14,2100.429932,2121.449951,2100.429932,2121.100098,2121.100098,3225740000,411
2015-05-15,2122.070068,2123.889893,2116.810059,2122.72998,2122.72998,3092080000,412
2015-05-18,2121.300049,2131.780029,2120.01001,2129.199951,2129.199951,2888190000,413
2015-05-19,2129.449951,2133.02002,2124.5,2127.830078,2127.830078,3296030000,414
2015-05-20,2127.790039,2134.719971,2122.590088,2125.850098,2125.850098,3025880000,415
2015-05-21,2125.550049,2134.280029,2122.949951,2130.820068,2130.820068,3070460000,416
2015-05-22,2130.360107,2132.149902,2126.060059,2126.060059,2126.060059,2571860000,417
2015-05-26,2125.340088,2125.340088,2099.179932,2104.199951,2104.199951,3342130000,418
2015-05-27,2105.129883,2126.219971,2105.129883,2123.47998,2123.47998,3127960000,419
2015-05-28,2122.27002,2122.27002,2112.860107,2120.790039,2120.790039,2980350000,420
2015-05-29,2120.659912,2120.659912,2104.889893,2107.389893,2107.389893,3927390000,421
2015-06-01,2108.639893,2119.149902,2102.540039,2111.72998,2111.72998,3011710000,422
2015-06-02,2110.409912,2117.590088,2099.139893,2109.600098,2109.600098,3049350000,423
2015-06-03,2110.639893,2121.919922,2109.610107,2114.070068,2114.070068,3099980000,424
2015-06-04,2112.350098,2112.889893,2093.22998,2095.840088,2095.840088,3200050000,425
2015-06-05,2095.090088,2100.98999,2085.669922,2092.830078,2092.830078,3243690000,426
2015-06-08,2092.340088,2093.01001,2079.110107,2079.280029,2079.280029,2917150000,427
2015-06-09,2079.070068,2085.620117,2072.139893,2080.149902,2080.149902,3034580000,428
2015-06-10,2081.120117,2108.5,2081.120117,2105.199951,2105.199951,3414320000,429
2015-06-11,2106.23999,2115.02002,2106.23999,2108.860107,2108.860107,3128600000,430
2015-06-12,2107.429932,2107.429932,2091.330078,2094.110107,2094.110107,2719400000,431
2015-06-15,2091.340088,2091.340088,2072.48999,2084.429932,2084.429932,3061570000,432
2015-06-16,2084.26001,2097.399902,2082.100098,2096.290039,2096.290039,2919900000,433
2015-06-17,2097.399902,2106.790039,2088.860107,2100.439941,2100.439941,3222240000,434
2015-06-18,2101.580078,2126.649902,2101.580078,2121.23999,2121.23999,3520360000,435
2015-06-19,2121.060059,2121.639893,2109.449951,2109.98999,2109.98999,4449810000,436
2015-06-22,2112.5,2129.870117,2112.5,2122.850098,2122.850098,3030020000,437
2015-06-23,2123.159912,2128.030029,2119.889893,2124.199951,2124.199951,3091190000,438
2015-06-24,2123.649902,2125.100098,2108.580078,2108.580078,2108.580078,3102480000,439
2015-06-25,2109.959961,2116.040039,2101.780029,2102.310059,2102.310059,3214610000,440
2015-06-26,2102.620117,2108.919922,2095.379883,2101.48999,2101.48999,5025470000,441
2015-06-29,2098.629883,2098.629883,2056.639893,2057.639893,2057.639893,3678960000,442
2015-06-30,2061.189941,2074.280029,2056.320068,2063.110107,2063.110107,4078540000,443
2015-07-01,2067,2082.780029,2067,2077.419922,2077.419922,3727260000,444
2015-07-02,2078.030029,2085.060059,2071.02002,2076.780029,2076.780029,2996540000,445
2015-07-06,2073.949951,2078.610107,2058.399902,2068.76001,2068.76001,3486360000,446
2015-07-07,2069.52002,2083.73999,2044.02002,2081.340088,2081.340088,4458660000,447
2015-07-08,2077.659912,2077.659912,2044.660034,2046.680054,2046.680054,3608780000,448
2015-07-09,2049.72998,2074.280029,2049.72998,2051.310059,2051.310059,3446810000,449
2015-07-10,2052.73999,2081.310059,2052.73999,2076.620117,2076.620117,3065070000,450
2015-07-13,2080.030029,2100.669922,2080.030029,2099.600098,2099.600098,3096730000,451
2015-07-14,2099.719971,2111.97998,2098.179932,2108.949951,2108.949951,3002120000,452
2015-07-15,2109.01001,2114.139893,2102.48999,2107.399902,2107.399902,3261810000,453
2015-07-16,2110.550049,2124.419922,2110.550049,2124.290039,2124.290039,3227080000,454
2015-07-17,2126.800049,2128.909912,2119.879883,2126.639893,2126.639893,3362750000,455
2015-07-20,2126.850098,2132.820068,2123.659912,2128.280029,2128.280029,3245870000,456
2015-07-21,2127.550049,2128.48999,2115.399902,2119.209961,2119.209961,3343690000,457
2015-07-22,2118.209961,2118.51001,2110,2114.149902,2114.149902,3694070000,458
2015-07-23,2114.159912,2116.870117,2098.629883,2102.149902,2102.149902,3772810000,459
2015-07-24,2102.23999,2106.01001,2077.090088,2079.649902,2079.649902,3870040000,460
2015-07-27,2078.189941,2078.189941,2063.52002,2067.639893,2067.639893,3836750000,461
2015-07-28,2070.75,2095.600098,2069.090088,2093.25,2093.25,4117740000,462
2015-07-29,2094.699951,2110.600098,2094.080078,2108.570068,2108.570068,4038900000,463
2015-07-30,2106.780029,2110.47998,2094.969971,2108.629883,2108.629883,3579410000,464
2015-07-31,2111.600098,2114.23999,2102.070068,2103.840088,2103.840088,3681340000,465
2015-08-03,2104.48999,2105.699951,2087.310059,2098.040039,2098.040039,3476770000,466
2015-08-04,2097.679932,2102.51001,2088.600098,2093.320068,2093.320068,3546710000,467
2015-08-05,2095.27002,2112.659912,2095.27002,2099.840088,2099.840088,3968680000,468
2015-08-06,2100.75,2103.320068,2075.530029,2083.560059,2083.560059,4246570000,469
2015-08-07,2082.610107,2082.610107,2067.909912,2077.570068,2077.570068,3602320000,470
2015-08-10,2080.97998,2105.350098,2080.97998,2104.179932,2104.179932,3514460000,471
2015-08-11,2102.659912,2102.659912,2076.48999,2084.070068,2084.070068,3708880000,472
2015-08-12,2081.100098,2089.060059,2052.090088,2086.050049,2086.050049,4269130000,473
2015-08-13,2086.189941,2092.929932,2078.26001,2083.389893,2083.389893,3221300000,474
2015-08-14,2083.149902,2092.449951,2080.610107,2091.540039,2091.540039,2795590000,475
2015-08-17,2089.699951,2102.870117,2079.300049,2102.439941,2102.439941,2867690000,476
2015-08-18,2101.98999,2103.469971,2094.139893,2096.919922,2096.919922,2949990000,477
2015-08-19,2095.689941,2096.169922,2070.530029,2079.610107,2079.610107,3512920000,478
2015-08-20,2076.610107,2076.610107,2035.72998,2035.72998,2035.72998,3922470000,479
2015-08-21,2034.079956,2034.079956,1970.890015,1970.890015,1970.890015,5018240000,480
2015-08-24,1965.150024,1965.150024,1867.01001,1893.209961,1893.209961,6612690000,481
2015-08-25,1898.079956,1948.040039,1867.079956,1867.609985,1867.609985,5183560000,482
2015-08-26,1872.75,1943.089966,1872.75,1940.51001,1940.51001,5338250000,483
2015-08-27,1942.77002,1989.599976,1942.77002,1987.660034,1987.660034,5006390000,484
2015-08-28,1986.060059,1993.47998,1975.189941,1988.869995,1988.869995,3949080000,485
2015-08-31,1986.72998,1986.72998,1965.97998,1972.180054,1972.180054,3915100000,486
2015-09-01,1970.089966,1970.089966,1903.069946,1913.849976,1913.849976,4371850000,487
2015-09-02,1916.52002,1948.910034,1916.52002,1948.859985,1948.859985,3742620000,488
2015-09-03,1950.790039,1975.01001,1944.719971,1951.130005,1951.130005,3520700000,489
2015-09-04,1947.76001,1947.76001,1911.209961,1921.219971,1921.219971,3167090000,490
2015-09-08,1927.300049,1970.420044,1927.300049,1969.410034,1969.410034,3548650000,491
2015-09-09,1971.449951,1988.630005,1937.880005,1942.040039,1942.040039,3652120000,492
2015-09-10,1941.589966,1965.290039,1937.189941,1952.290039,1952.290039,3626320000,493
2015-09-11,1951.449951,1961.050049,1939.189941,1961.050049,1961.050049,3218590000,494
2015-09-14,1963.060059,1963.060059,1948.27002,1953.030029,1953.030029,3000200000,495
2015-09-15,1955.099976,1983.189941,1954.300049,1978.089966,1978.089966,3239860000,496
2015-09-16,1978.02002,1997.26001,1977.930054,1995.310059,1995.310059,3630680000,497
2015-09-17,1995.329956,2020.859985,1986.72998,1990.199951,1990.199951,4183790000,498
2015-09-18,1989.660034,1989.660034,1953.449951,1958.030029,1958.030029,6021240000,499
2015-09-21,1960.839966,1979.640015,1955.800049,1966.969971,1966.969971,3269350000,500
2015-09-22,1961.390015,1961.390015,1929.219971,1942.73999,1942.73999,3808260000,501
2015-09-23,1943.23999,1949.52002,1932.569946,1938.76001,1938.76001,3190530000,502
2015-09-24,1934.810059,1937.170044,1908.920044,1932.23999,1932.23999,4091530000,503
2015-09-25,1935.930054,1952.890015,1921.5,1931.339966,1931.339966,3721870000,504
2015-09-28,1929.180054,1929.180054,1879.209961,1881.77002,1881.77002,4326660000,505
2015-09-29,1881.900024,1899.47998,1871.910034,1884.089966,1884.089966,4132390000,506
2015-09-30,1887.140015,1920.530029,1887.140015,1920.030029,1920.030029,4525070000,507
2015-10-01,1919.650024,1927.209961,1900.699951,1923.819946,1923.819946,3983600000,508
2015-10-02,1921.77002,1951.359985,1893.699951,1951.359985,1951.359985,4378570000,509
2015-10-05,1954.329956,1989.170044,1954.329956,1987.050049,1987.050049,4334490000,510
2015-10-06,1986.630005,1991.619995,1971.98999,1979.920044,1979.920044,4202400000,511
2015-10-07,1982.339966,1999.310059,1976.439941,1995.829956,1995.829956,4666470000,512
2015-10-08,1994.01001,2016.5,1987.530029,2013.430054,2013.430054,3939140000,513
2015-10-09,2013.72998,2020.130005,2007.609985,2014.890015,2014.890015,3706900000,514
2015-10-12,2015.650024,2018.660034,2010.550049,2017.459961,2017.459961,2893250000,515
2015-10-13,2015,2022.339966,2001.780029,2003.689941,2003.689941,3401920000,516
2015-10-14,2003.660034,2009.560059,1990.72998,1994.23999,1994.23999,3644590000,517
2015-10-15,1996.469971,2024.150024,1996.469971,2023.859985,2023.859985,3746290000,518
2015-10-16,2024.369995,2033.540039,2020.459961,2033.109985,2033.109985,3595430000,519
2015-10-19,2031.72998,2034.449951,2022.310059,2033.660034,2033.660034,3287320000,520
2015-10-20,2033.130005,2039.119995,2026.609985,2030.77002,2030.77002,3331500000,521
2015-10-21,2033.469971,2037.969971,2017.219971,2018.939941,2018.939941,3627790000,522
2015-10-22,2021.880005,2055.199951,2021.880005,2052.51001,2052.51001,4430850000,523
2015-10-23,2058.189941,2079.73999,2058.189941,2075.149902,2075.149902,4108460000,524
2015-10-26,2075.080078,2075.139893,2066.530029,2071.179932,2071.179932,3385800000,525
2015-10-27,2068.75,2070.370117,2058.840088,2065.889893,2065.889893,4216880000,526
2015-10-28,2066.47998,2090.350098,2063.110107,2090.350098,2090.350098,4698110000,527
2015-10-29,2088.350098,2092.52002,2082.629883,2089.409912,2089.409912,4008940000,528
2015-10-30,2090,2094.320068,2079.340088,2079.360107,2079.360107,4256200000,529
2015-11-02,2080.76001,2106.199951,2080.76001,2104.050049,2104.050049,3760020000,530
